NTA,cnt_restaurants
,1
BK09,1
BK17,1
BK25,1
BK26,2
BK28,2
BK30,1
BK31,2
BK37,2
BK41,1
BK42,2
BK44,2
BK45,3
BK60,3
BK63,1
BK68,2
BK69,3
BK73,5
BK75,1
BK76,2
BK78,1
BK82,1
BK83,1
BK88,2
BX01,1
BX05,1
BX06,1
BX13,1
BX22,1
BX29,1
BX41,1
BX49,1
BX52,1
MN01,1
MN04,2
MN06,1
MN09,1
MN12,3
MN13,6
MN14,1
MN15,7
MN17,6
MN19,2
MN20,3
MN21,3
MN22,4
MN23,3
MN24,1
MN25,7
MN27,1
MN28,2
MN32,4
MN34,1
MN36,4
MN40,1
QN01,1
QN05,1
QN06,2
QN17,1
QN19,1
QN20,3
QN21,1
QN28,1
QN29,2
QN31,3
QN46,3
QN50,1
QN52,2
QN54,1
QN57,1
QN61,1
QN68,1
QN70,3
QN71,1
QN72,2
SI22,2
SI25,1
SI36,2
SI45,1
