NTA,NTA_Name
MN15,Clinton
BX29,Spuyten Duyvil-Kingsbridge
BX05,Bedford Park-Fordham North
BK25,Homecrest
MN36,Washington Heights South
BK60,Prospect Lefferts Gardens-Wingate
BK69,Clinton Hill
QN72,Steinway
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
SI36,Old Town-Dongan Hills-South Beach
BK25,Homecrest
BK83,Cypress Hills-City Line
MN17,Midtown-Midtown South
BK09,Brooklyn Heights-Cobble Hill
SI36,Old Town-Dongan Hills-South Beach
MN36,Washington Heights South
BK28,Bensonhurst West
MN15,Clinton
QN20,Ridgewood
QN71,Old Astoria
MN17,Midtown-Midtown South
BK60,Prospect Lefferts Gardens-Wingate
BK09,Brooklyn Heights-Cobble Hill
BK60,Prospect Lefferts Gardens-Wingate
BX01,Claremont-Bathgate
BX01,Claremont-Bathgate
MN19,Turtle Bay-East Midtown
,
BK73,North Side-South Side
QN57,Lindenwood-Howard Beach
SI22,West New Brighton-New Brighton-St. George
QN01,South Jamaica
QN19,Glendale
BK83,Cypress Hills-City Line
BK83,Cypress Hills-City Line
MN27,Chinatown
BK42,Flatbush
BX05,Bedford Park-Fordham North
QN31,Hunters Point-Sunnyside-West Maspeth
MN36,Washington Heights South
BK30,Dyker Heights
BK26,Gravesend
MN25,Battery Park City-Lower Manhattan
MN25,Battery Park City-Lower Manhattan
BK83,Cypress Hills-City Line
BK26,Gravesend
MN36,Washington Heights South
BX41,Mount Hope
MN25,Battery Park City-Lower Manhattan
BK88,Borough Park
BK63,Crown Heights South
BX22,North Riverdale-Fieldston-Riverdale
MN36,Washington Heights South
MN36,Washington Heights South
QN72,Steinway
MN36,Washington Heights South
MN25,Battery Park City-Lower Manhattan
MN25,Battery Park City-Lower Manhattan
BK88,Borough Park
QN31,Hunters Point-Sunnyside-West Maspeth
QN06,Jamaica Estates-Holliswood
MN23,West Village
MN19,Turtle Bay-East Midtown
QN57,Lindenwood-Howard Beach
QN01,South Jamaica
BK26,Gravesend
MN17,Midtown-Midtown South
BX29,Spuyten Duyvil-Kingsbridge
MN15,Clinton
MN17,Midtown-Midtown South
SI25,Oakwood-Oakwood Beach
SI25,Oakwood-Oakwood Beach
SI25,Oakwood-Oakwood Beach
BX06,Belmont
BK88,Borough Park
MN27,Chinatown
SI36,Old Town-Dongan Hills-South Beach
MN15,Clinton
MN15,Clinton
SI22,West New Brighton-New Brighton-St. George
SI22,West New Brighton-New Brighton-St. George
SI22,West New Brighton-New Brighton-St. George
MN25,Battery Park City-Lower Manhattan
BX41,Mount Hope
BX06,Belmont
BK88,Borough Park
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin
MN17,Midtown-Midtown South
BX52,Schuylerville-Throgs Neck-Edgewater Park
MN19,Turtle Bay-East Midtown
SI36,Old Town-Dongan Hills-South Beach
BK26,Gravesend
BK30,Dyker Heights
QN31,Hunters Point-Sunnyside-West Maspeth
BK28,Bensonhurst West
BK73,North Side-South Side
SI22,West New Brighton-New Brighton-St. George
BK88,Borough Park
SI45,New Dorp-Midland Beach
SI22,West New Brighton-New Brighton-St. George
