NTA,NTA_Name,num_restaurants
,,1
BK09,Brooklyn Heights-Cobble Hill,1
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1
BK25,Homecrest,1
BK26,Gravesend,2
BK28,Bensonhurst West,2
BK30,Dyker Heights,1
BK31,Bay Ridge,2
BK37,Park Slope-Gowanus,2
BK41,Kensington-Ocean Parkway,1
BK42,Flatbush,2
BK44,Madison,2
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3
BK60,Prospect Lefferts Gardens-Wingate,3
BK63,Crown Heights South,1
BK68,Fort Greene,2
BK69,Clinton Hill,3
BK73,North Side-South Side,5
BK75,Bedford,1
BK76,Greenpoint,2
BK78,Bushwick South,1
BK82,East New York,1
BK83,Cypress Hills-City Line,1
BK88,Borough Park,2
BX01,Claremont-Bathgate,1
BX05,Bedford Park-Fordham North,1
BX06,Belmont,1
BX13,Co-op City,1
BX22,North Riverdale-Fieldston-Riverdale,1
BX29,Spuyten Duyvil-Kingsbridge,1
BX41,Mount Hope,1
BX49,Pelham Parkway,1
BX52,Schuylerville-Throgs Neck-Edgewater Park,1
MN01,Marble Hill-Inwood,1
MN04,Hamilton Heights,2
MN06,Manhattanville,1
MN09,Morningside Heights,1
MN12,Upper West Side,3
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,6
MN14,Lincoln Square,1
MN15,Clinton,7
MN17,Midtown-Midtown South,6
MN19,Turtle Bay-East Midtown,2
MN20,Murray Hill-Kips Bay,3
MN21,Gramercy,3
MN22,East Village,4
MN23,West Village,3
MN24,SoHo-TriBeCa-Civic Center-Little Italy,1
MN25,Battery Park City-Lower Manhattan,7
MN27,Chinatown,1
MN28,Lower East Side,2
MN32,Yorkville,4
MN34,East Harlem North,1
MN36,Washington Heights South,4
MN40,Upper East Side-Carnegie Hill,1
QN01,South Jamaica,1
QN05,Rosedale,1
QN06,Jamaica Estates-Holliswood,2
QN17,Forest Hills,1
QN19,Glendale,1
QN20,Ridgewood,3
QN21,Middle Village,1
QN28,Jackson Heights,1
QN29,Elmhurst,2
QN31,Hunters Point-Sunnyside-West Maspeth,3
QN46,Bayside-Bayside Hills,3
QN50,Elmhurst-Maspeth,1
QN52,East Flushing,2
QN54,Richmond Hill,1
QN57,Lindenwood-Howard Beach,1
QN61,Jamaica,1
QN68,Queensbridge-Ravenswood-Long Island City,1
QN70,Astoria,3
QN71,Old Astoria,1
QN72,Steinway,2
SI22,West New Brighton-New Brighton-St. George,2
SI25,Oakwood-Oakwood Beach,1
SI36,Old Town-Dongan Hills-South Beach,2
SI45,New Dorp-Midland Beach,1
