District,Grade,Year,Category,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 20+ Total Days,# Chronically Absent,% Chronically Absent
1,3,2018-19,All Students,149871,10601,139270,92.9,876,228,26.0
2,3,2018-19,All Students,491432,21170,470262,95.7,2844,278,9.8
3,3,2018-19,All Students,254506,15395,239111,94.0,1488,274,18.4
4,3,2018-19,All Students,169632,13835,155797,91.8,996,310,31.1
5,3,2018-19,All Students,132520,12097,120423,90.9,814,301,37.0
6,3,2018-19,All Students,305341,19138,286203,93.7,1775,348,19.6
7,3,2018-19,All Students,219336,20088,199248,90.8,1303,461,35.4
8,3,2018-19,All Students,370837,30269,340568,91.8,2202,728,33.1
9,3,2018-19,All Students,479663,40120,439543,91.6,2849,887,31.1
10,3,2018-19,All Students,714931,53436,661495,92.5,4206,1153,27.4
11,3,2018-19,All Students,559584,40300,519284,92.8,3311,867,26.2
12,3,2018-19,All Students,326233,27775,298458,91.5,1958,618,31.6
13,3,2018-19,All Students,182717,14070,168647,92.3,1069,291,27.2
14,3,2018-19,All Students,217400,15514,201886,92.9,1268,313,24.7
15,3,2018-19,All Students,517290,23510,493780,95.5,2984,328,11.0
16,3,2018-19,All Students,91053,8750,82303,90.4,545,213,39.1
17,3,2018-19,All Students,235996,18013,217983,92.4,1421,390,27.4
18,3,2018-19,All Students,192472,14404,178068,92.5,1143,301,26.3
19,3,2018-19,All Students,301359,26408,274951,91.2,1789,616,34.4
20,3,2018-19,All Students,702642,27113,675529,96.1,4067,365,9.0
21,3,2018-19,All Students,388594,24057,364537,93.8,2280,496,21.8
22,3,2018-19,All Students,483278,27758,455520,94.3,2832,484,17.1
23,3,2018-19,All Students,125975,13404,112571,89.4,769,320,41.6
24,3,2018-19,All Students,854886,40970,813916,95.2,4941,626,12.7
25,3,2018-19,All Students,492208,19629,472579,96.0,2866,275,9.6
26,3,2018-19,All Students,328880,11537,317343,96.5,1892,128,6.8
27,3,2018-19,All Students,588187,37654,550533,93.6,3462,730,21.1
28,3,2018-19,All Students,492565,28532,464033,94.2,2889,517,17.9
29,3,2018-19,All Students,410545,27784,382761,93.2,2433,532,21.9
30,3,2018-19,All Students,523589,26681,496908,94.9,3057,417,13.6
31,3,2018-19,All Students,813260,50555,762705,93.8,4708,907,19.3
32,3,2018-19,All Students,145157,9884,135273,93.2,867,196,22.6
75,3,2018-19,All Students,316747,39541,277206,87.5,1873,933,49.8
