CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,restaurant_name,thai_boolean
41178124,CAFE 57,Manhattan,300,WEST   57 STREET,10019,+1-212-649-2729,American,2021/07/30,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,4.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76643902,-73.98332508,104.0,3.0,13900.0,1025451.0,1010477502.0,MN15,Cafe 57,False
50111450,CASTLE CHICKEN,Bronx,5987A,BROADWAY,10471,+1-917-856-2047,Chicken,2021/07/30,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,41.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.88993027,-73.89805316,208.0,11.0,28500.0,2084208.0,2058011033.0,BX29,Castle Chicken,False
40699339,NICK GARDEN COFFEE SHOP,Bronx,2953,WEBSTER AVENUE,10458,+1-718-365-2277,Coffee/Tea,2021/07/30,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,31.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.86759042,-73.88308647,207.0,11.0,41500.0,2016446.0,2032800061.0,BX05,Nick Garden Coffee Shop,False
41181395,DUNKIN',Brooklyn,934,KINGS HIGHWAY,11223,+1-718-627-2450,Donuts,2021/07/30,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.60705342,-73.96272892,315.0,44.0,41800.0,3177632.0,3066660110.0,BK25,Dunkin',False
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,+1-718-300-2642,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36,Zon Bakery & Cafe,False
50104136,FLATBUSH  BAGEL,Brooklyn,557,FLATBUSH AVENUE,11225,+1-516-491-5588,Bagels/Pretzels,2021/07/30,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,30.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.66025483,-73.96061219,309.0,40.0,79801.0,3114677.0,3050280001.0,BK60,Flatbush  Bagel,False
50106274,BURGER IM,Brooklyn,531,MYRTLE AVENUE,11205,+1-718-673-6066,Hamburgers,2021/07/30,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.69370633,-73.96336185,302.0,35.0,19100.0,3424339.0,3018937504.0,BK69,Burger Im,False
41485121,BOHEMIAN BEER GARDEN,Queens,2919,24 AVENUE,11102,+1-718-274-4925,Czech,2021/07/30,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,4.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.77279112,-73.91610113,401.0,22.0,11500.0,4437011.0,4008420006.0,QN72,Bohemian Beer Garden,False
50104841,STARBUCKS COFFEE #14090,Brooklyn,3454,NOSTRAND AVENUE,11229,+1-212-615-9700,Coffee/Tea,2021/07/30,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.59981217,-73.9417858,315.0,46.0,57000.0,3410364.0,3073620010.0,BK17,Starbucks Coffee #14090,False
41397316,LEE'S TAVERN,Staten Island,60,HANCOCK STREET,10305,+1-718-667-9749,American,2021/07/30,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,14.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.5888438,-74.09533948,502.0,50.0,9602.0,5049387.0,5033420026.0,SI36,Lee'S Tavern,False
41181395,DUNKIN',Brooklyn,934,KINGS HIGHWAY,11223,+1-718-627-2450,Donuts,2021/07/30,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.60705342,-73.96272892,315.0,44.0,41800.0,3177632.0,3066660110.0,BK25,Dunkin',False
