CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,05A,Sewage disposal system improper or unapproved.,Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36
50108027,GARDEN CITY DELI,Manhattan,77,PEARL STREET,10004,6466575295,American,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,73.0,N,,8/1/2021,Cycle Inspection / Initial Inspection,40.70394698,-74.01029705,101.0,1.0,900.0,1000836.0,1000290022.0,MN25
50108027,GARDEN CITY DELI,Manhattan,77,PEARL STREET,10004,6466575295,American,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,73.0,N,,8/1/2021,Cycle Inspection / Initial Inspection,40.70394698,-74.01029705,101.0,1.0,900.0,1000836.0,1000290022.0,MN25
50108027,GARDEN CITY DELI,Manhattan,77,PEARL STREET,10004,6466575295,American,7/30/2021,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,73.0,N,,8/1/2021,Cycle Inspection / Initial Inspection,40.70394698,-74.01029705,101.0,1.0,900.0,1000836.0,1000290022.0,MN25
50108027,GARDEN CITY DELI,Manhattan,77,PEARL STREET,10004,6466575295,American,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,73.0,N,,8/1/2021,Cycle Inspection / Initial Inspection,40.70394698,-74.01029705,101.0,1.0,900.0,1000836.0,1000290022.0,MN25
