CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41178124,CAFE 57,Manhattan,300,WEST   57 STREET,10019,2126492729,American,7/30/2021,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,4.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76643902,-73.98332508,104.0,3.0,13900.0,1025451.0,1010477502.0,MN15
41181395,DUNKIN',Brooklyn,934,KINGS HIGHWAY,11223,7186272450,Donuts,7/30/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.60705342,-73.96272892,315.0,44.0,41800.0,3177632.0,3066660110.0,BK25
50106274,BURGER IM,Brooklyn,531,MYRTLE AVENUE,11205,7186736066,Hamburgers,7/30/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.69370633,-73.96336185,302.0,35.0,19100.0,3424339.0,3018937504.0,BK69
41485121,BOHEMIAN BEER GARDEN,Queens,2919,24 AVENUE,11102,7182744925,Czech,7/30/2021,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,4.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.77279112,-73.91610113,401.0,22.0,11500.0,4437011.0,4008420006.0,QN72
50104841,STARBUCKS COFFEE #14090,Brooklyn,3454,NOSTRAND AVENUE,11229,2126159700,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.59981217,-73.9417858,315.0,46.0,57000.0,3410364.0,3073620010.0,BK17
41181395,DUNKIN',Brooklyn,934,KINGS HIGHWAY,11223,7186272450,Donuts,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.60705342,-73.96272892,315.0,44.0,41800.0,3177632.0,3066660110.0,BK25
41172734,JUNIOR'S RESTAURANT,Manhattan,1515,BROADWAY,10036,2123022000,American,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75762868,-73.98580348,105.0,3.0,11900.0,1024714.0,1010160036.0,MN17
50111522,ARABICA COFFEE,Brooklyn,20,OLD FULTON STREET,11201,7188652551,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.70277802,-73.99415008,302.0,33.0,100.0,3000000.0,3002010005.0,BK09
40548768,MCDONALD'S,Manhattan,4259,BROADWAY,10033,9175210827,Hamburgers,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.85007394,-73.93585843,112.0,10.0,26500.0,1064280.0,1021760133.0,MN36
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
40692741,DELIGHT DONUT,Queens,6691,FRESH POND ROAD,11385,7186284708,American,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.70620385,-73.8967843,405.0,30.0,61301.0,4438878.0,4036190005.0,QN20
50060971,KATCH,Queens,3119,NEWTOWN AVE,11102,9143200307,American,7/30/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76743108,-73.92062418,401.0,22.0,7100.0,4539970.0,4006190014.0,QN71
50016102,CAFE GRUMPY,Manhattan,200,WEST   39 STREET,10018,9179033437,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75429687,-73.98876752,105.0,3.0,11300.0,1014485.0,1007880049.0,MN17
50108095,KANSAS CHICKEN & BURGER,Brooklyn,1032,NOSTRAND AVENUE,11225,3476495481,American,7/30/2021,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,7.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.66323466,-73.95091441,309.0,40.0,32900.0,3034805.0,3013150042.0,BK60
