restaurant_name,cuisine_description,borough,GRADE
JUNIOR'S RESTAURANT,American,Manhattan,A
PARADA 47 MEXICAN RESTAURANT,Mexican,Manhattan,A
PARADA 47 MEXICAN RESTAURANT,Mexican,Manhattan,A
PARADA 47 MEXICAN RESTAURANT,Mexican,Manhattan,A
PARADA 47 MEXICAN RESTAURANT,Mexican,Manhattan,A
JUNIOR'S RESTAURANT,American,Manhattan,A
JUNIOR'S RESTAURANT,American,Manhattan,A
CHARM THAI CORP,Thai,Manhattan,A
CHARM THAI CORP,Thai,Manhattan,A
CHARM THAI CORP,Thai,Manhattan,A
ONCE MORE THAI,Thai,Manhattan,A
ONCE MORE THAI,Thai,Manhattan,A
ONCE MORE THAI,Thai,Manhattan,A
