CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41172734,JUNIOR'S RESTAURANT,Manhattan,1515,BROADWAY,10036,2123022000,American,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75762868,-73.98580348,105.0,3.0,11900.0,1024714.0,1010160036.0,MN17
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
41172734,JUNIOR'S RESTAURANT,Manhattan,1515,BROADWAY,10036,2123022000,American,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75762868,-73.98580348,105.0,3.0,11900.0,1024714.0,1010160036.0,MN17
41172734,JUNIOR'S RESTAURANT,Manhattan,1515,BROADWAY,10036,2123022000,American,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75762868,-73.98580348,105.0,3.0,11900.0,1024714.0,1010160036.0,MN17
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,35.0,,,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,35.0,,,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,8/8/2021,Administrative Miscellaneous / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
